0		LEFT$	RIGHT$	MID$	SGN	INT	ABS	SQR
8	RND	SIN	LOG	EXP	COS	TAN	ATN	FRE
10	INP	POS	LEN	STR$	VAL	ASC	CHR$	PEEK
18	SPACE$	OCT$	HEX$	LPOS	CINT	CSNG	CDBL	FIX
20								
28			CVI	CVS	CVD	EOF	LOC	LOF
30	MKI$	MKS$	MKD$	ROW				
38								
40								
48								
50								
58								
60								
68								
70								
78								
80		END	FOR	NEXT	DATA	INPUT	DIM	READ
88	LET	GOTO	RUN	IF	RESTORE	GOSUB	RETURN	REM
90	STOP	PRINT	CLEAR	LIST	NEW	ON	WAIT	DEF
98	POKE	CONT			OUT	LPRINT	LLIST	CLS
A0		WIDTH	ELSE	TRON	TROFF	SWAP	ERASE	EDIT
A8	ERROR	RESUME	DELETE	AUTO	RENUM	DEFSTR	DEFINT	DEFSNG
B0	DEFDBL	LINE			WHILE	WEND	CALL	WRITE
B8	COMMON	CHAIN	OPTION	RANDOM		SYSTEM		OPEN
C0	FIELD	GET	PUT	CLOSE	LOAD	MERGE		NAME
C8	KILL	LSET	RSET	SAVE		SOUND		TO
D0	THEN	TAB(	STEP	USR	FN	SPC(	NOT	ERL
D8	ERR	STRING$	USING	INSTR	'	VARPTR	DATE$	ERRS$
E0	INKEY$	MEM	TIME$			CIRCLE	CLR	GLOCATE
E8	PAINT	PRESET	PSET	SCREEN	VIEW			
F0	>	=	<	+	-	*	/	^
F8	AND	OR	XOR	EQV	IMP	MOD	\	
