
80	END	FOR	RESET	SET	CLS	CMD	RANDOM	NEXT	
88	DATA	INPUT	DIM	READ	LET	GOTO	RUN	IF
90	RESTORE	GOSUB	RETURN	REM	STOP	ELSE	TRON	TROFF	
98	DEFSTR	DEFINT	DEFSNG	DEFDBL	LINE	EDIT	ERROR	RESUME
A0	OUT	ON	PLAY	ZAP	BEEP	DRAW	INVERSE	NOISE	
A8	MERGE	MOVE	STORE	CALL	DOKE	RENEW	SYSTEM	LPRINT
B0	DEF	POKE	PRINT	CONT	LIST	LLIST	DELETE	AUTO	
B8	CLEAR	CLOAD	CSAVE	NEW	TAB(	TO	FN	USING
C0	VARPTR	USR	ERL	ERR	STRING$	INSTR	POINT	TIME$	
C8	MEM	INKEY$	THEN	NOT	STEP	+	-	*
D0	/	]	AND	OR	>	=	<	SGN	
D8	INT	ABS	FRE	INP	POS	SQR	RND	LOG
E0	EXP	COS	SIN	TAN	ATN	PEEK	EXT$	CVS	
E8	CAPS$	DEEK	ASN	ACS	COMP$	HEX$	BIN$	CINT
F0	CSNG	CDBL	FIX	LEN	STR$	VAL	ASC	CHR$	
F8	LEFT$	RIGHT$	MID$	'

