0		LEFT$	RIGHT$	MID$	SGN	INT	ABS	SQR
8	RND	SIN	LOG	EXP	COS	TAN	ATN	FRE
10	INP	POS	LEN	STR$	VAL	ASC	CHR$	PEEK
18	SPACE$	OCT$	HEX$	LPOS	CINT	CSNG	CDBL	FIX
20								
28				CVI	CVS	CVD		EOF
30	LOC	LOF	MKI$	MKS$	MKD$			
38								
40								
48								
50								
58								
60								
68								
70								
78								
80		END	FOR	NEXT	DATA	INPUT	DIM	READ
88	LET	GOTO	RUN	IF	RESTORE	GOSUB	RETURN	REM
90	STOP	PRINT	CLEAR	LIST	NEW	ON	NULL	WAIT
98	DEF	POKE	CONT			OUT	LPRINT	LLIST
A0		WIDTH	ELSE	TRON	TROFF	SWAP	ERASE	EDIT
A8	ERROR	RESUME	DELETE	AUTO	RENUM	DEFSTR	DEFINT	DEFSNG
B0	DEFDBL	LINE			WHILE	WEND	CALL	WRITE
B8	COMMON	CHAIN	OPTION	RANDOMIZE		SYSTEM		OPEN
C0	FIELD	GET	PUT	CLOSE	LOAD	MERGE	FILES	NAME
C8	KILL	LSET	RSET	SAVE	RESET		TO	THEN
D0	TAB(	STEP	USR	FN	SPC(	NOT	ERL	ERR
D8	STRING$	USING	INSTR	'	VARPTR	INKEY$		
E0								
E8								>
F0	=	<	+	-	*	/	^	AND
F8	OR	XOR	EQV	IMP	MOD	\		
